OvO,AUC-score
3 v. 4,0.5303030303030303
4 v. 3,0.46212121212121215
3 v. 5,0.4819587628865979
5 v. 3,0.6692439862542956
3 v. 6,0.42613636363636365
6 v. 3,0.7267045454545454
3 v. 7,0.4985795454545454
7 v. 3,0.9289772727272727
3 v. 8,0.6714285714285715
8 v. 3,0.9142857142857143
3 v. 9,0.5
9 v. 3,0.5
4 v. 5,0.767572633552015
5 v. 4,0.643965427470582
4 v. 6,0.7992424242424243
6 v. 4,0.8584022038567494
4 v. 7,0.850378787878788
7 v. 4,0.930785123966942
4 v. 8,0.8683982683982684
8 v. 4,0.9419913419913419
4 v. 9,1.0
9 v. 4,0.5151515151515151
5 v. 6,0.8322008747266479
6 v. 5,0.7970165573258357
5 v. 7,0.9304318962824117
7 v. 5,0.9394525148391127
5 v. 8,0.957486499754541
8 v. 5,0.9675012272950417
5 v. 9,0.9862542955326461
9 v. 5,0.5085910652920962
6 v. 7,0.751691632231405
7 v. 6,0.8486570247933884
6 v. 8,0.8508441558441558
8 v. 6,0.916948051948052
6 v. 9,0.9386363636363636
9 v. 6,0.30681818181818177
7 v. 8,0.8275974025974027
8 v. 7,0.8599025974025973
7 v. 9,0.3522727272727273
9 v. 7,0.3977272727272727
8 v. 9,0.6857142857142857
9 v. 8,0.5714285714285714
