OvO,AUC-score
3 v. 4,0.8181818181818181
4 v. 3,0.5
3 v. 5,0.8244047619047619
5 v. 3,0.4851190476190476
3 v. 6,0.8461538461538461
6 v. 3,0.7435897435897436
3 v. 7,0.8805970149253731
7 v. 3,0.9776119402985075
3 v. 8,0.9375
8 v. 3,1.0
4 v. 5,0.5817099567099567
5 v. 4,0.5622294372294372
4 v. 6,0.7791375291375291
6 v. 4,0.8065268065268065
4 v. 7,0.8751696065128901
7 v. 4,0.8453188602442334
4 v. 8,0.8977272727272727
8 v. 4,0.8977272727272727
5 v. 6,0.8064331501831502
6 v. 5,0.7769001831501832
5 v. 7,0.9249289267945984
7 v. 5,0.9136460554371002
5 v. 8,0.9494047619047619
8 v. 5,0.9583333333333334
6 v. 7,0.5804630692690393
7 v. 6,0.7421546115575967
6 v. 8,0.6282051282051282
8 v. 6,0.7724358974358974
7 v. 8,0.43097014925373134
8 v. 7,0.6007462686567164
