OvO,AUC-score
3 v. 4,0.5271317829457365
4 v. 3,0.4883720930232558
3 v. 5,0.6113707165109035
5 v. 3,0.46339563862928346
3 v. 6,0.5684891240446796
6 v. 3,0.9215167548500882
3 v. 7,0.6712962962962963
7 v. 3,0.8904320987654322
3 v. 8,0.7307692307692308
8 v. 3,0.9273504273504273
3 v. 9,0.3333333333333333
9 v. 3,0.8333333333333334
4 v. 5,0.7570093457943926
5 v. 4,0.6590958487285372
4 v. 6,0.827037447192486
6 v. 4,0.8302366596940239
4 v. 7,0.890826873385013
7 v. 4,0.9456287683031869
4 v. 8,0.908169350029815
8 v. 4,0.92128801431127
4 v. 9,0.8604651162790697
9 v. 4,0.8372093023255813
5 v. 6,0.8471995582587483
6 v. 5,0.8214079678254134
5 v. 7,0.9347633264105226
7 v. 5,0.9492038767739703
5 v. 8,0.9593218308171578
8 v. 5,0.9366762520968128
5 v. 9,0.9719626168224299
9 v. 5,0.8364485981308412
6 v. 7,0.7837464889934026
7 v. 6,0.8580655170161343
6 v. 8,0.8649663094107538
8 v. 6,0.8567358567358568
6 v. 9,0.7107583774250441
9 v. 6,0.7954144620811288
7 v. 8,0.7188983855650524
8 v. 7,0.7862060778727444
7 v. 9,0.6157407407407407
9 v. 7,0.8703703703703703
8 v. 9,0.7435897435897436
9 v. 8,0.8461538461538461
