OvO,AUC-score
3 v. 4,0.44961240310077516
4 v. 3,0.5930232558139534
3 v. 5,0.5778816199376946
5 v. 3,0.45443925233644855
3 v. 6,0.5476190476190477
6 v. 3,0.8877131099353321
3 v. 7,0.6188271604938271
7 v. 3,0.8688271604938271
3 v. 8,0.6581196581196581
8 v. 3,0.9444444444444444
3 v. 9,0.3333333333333333
9 v. 3,1.0
4 v. 5,0.7952075635731362
5 v. 4,0.6371440991088894
4 v. 6,0.8754768057093638
6 v. 4,0.8250276854928017
4 v. 7,0.9263565891472868
7 v. 4,0.9228036175710593
4 v. 8,0.9367918902802623
8 v. 4,0.8884913536076327
4 v. 9,0.9534883720930233
9 v. 4,0.813953488372093
5 v. 6,0.815700769750614
6 v. 5,0.7714483508876031
5 v. 7,0.9371214087919697
7 v. 5,0.9442605572862581
5 v. 8,0.9648334531512102
8 v. 5,0.9301461778097292
5 v. 9,0.9789719626168224
9 v. 5,0.8481308411214953
6 v. 7,0.718482591939382
7 v. 6,0.831585995166242
6 v. 8,0.8258490480712701
8 v. 6,0.8430335097001764
6 v. 9,0.5008818342151675
9 v. 6,0.8271604938271605
7 v. 8,0.6534900284900286
8 v. 7,0.7693494776828109
7 v. 9,0.6481481481481481
9 v. 7,0.8703703703703702
8 v. 9,0.6410256410256411
9 v. 8,0.8205128205128205
